#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: ESS_B4C:b10_enrichment=0.99
#MaterialDensity [g/cm3]: 2.37622
#MaterialTemperature [K]: 273.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 10.4204
#NAtomsPerVolume [1/cm3]: 1.37326e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 72.8196
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 4577.13244506
1.02329299228e-09 4623.48273894
1.03514216668e-09 4501.17715584
1.04712854805e-09 4436.4962316
1.05925372518e-09 4444.58762474
1.07151930524e-09 4433.41335098
1.08392691402e-09 4416.78315049
1.09647819614e-09 4392.09231311
1.10917481526e-09 4368.426282
1.1220184543e-09 4303.89347363
1.13501081567e-09 4333.77663728
1.1481536215e-09 4271.49909518
1.16144861384e-09 4255.00721337
1.17489755494e-09 4169.04511361
1.18850222744e-09 4230.95346373
1.20226443462e-09 4135.91562969
1.21618600065e-09 4185.4120888
1.23026877081e-09 4137.47805626
1.24451461177e-09 4174.07431311
1.25892541179e-09 4098.22634541
1.27350308102e-09 4140.73750809
1.28824955169e-09 4036.18173869
1.30316677845e-09 4042.37837786
1.31825673856e-09 4005.82282507
1.33352143216e-09 4002.86744932
1.34896288259e-09 3954.4546034
1.36458313659e-09 3955.9344567
1.3803842646e-09 3899.76623803
1.39636836106e-09 3869.43282354
1.41253754462e-09 3879.34867681
1.42889395851e-09 3849.15641735
1.44543977075e-09 3824.2144709
1.46217717446e-09 3845.43310959
1.47910838817e-09 3817.96594408
1.49623565609e-09 3780.46672556
1.51356124844e-09 3751.80975838
1.53108746168e-09 3705.72660035
1.54881661891e-09 3670.53676352
1.56675107011e-09 3656.90180499
1.58489319246e-09 3677.14940049
1.60324539069e-09 3643.56688447
1.62181009736e-09 3612.18451013
1.6405897732e-09 3588.20269884
1.65958690744e-09 3559.83549603
1.67880401812e-09 3597.57264322
1.69824365246e-09 3544.51675331
1.71790838716e-09 3505.89991251
1.73780082875e-09 3419.71490056
1.75792361396e-09 3477.94216322
1.77827941004e-09 3423.17014114
1.79887091513e-09 3466.80224903
1.81970085861e-09 3384.9048223
1.84077200147e-09 3426.03723904
1.86208713666e-09 3343.12512399
1.88364908949e-09 3347.72419214
1.90546071796e-09 3307.82077132
1.92752491319e-09 3304.0047328
1.94984459976e-09 3321.82861297
1.97242273612e-09 3286.38767625
1.99526231497e-09 3242.41056999
2.01836636368e-09 3254.25343974
