#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: ESS_B4C
#MaterialDensity [g/cm3]: 2.52
#MaterialTemperature [K]: 273.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 11.051
#NAtomsPerVolume [1/cm3]: 1.37326e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 72.8196
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 7459.8113235
1.02329299228e-09 7544.70804635
1.03514216668e-09 7322.97929413
1.04712854805e-09 7222.83926359
1.05925372518e-09 7253.834692
1.07151930524e-09 7211.26404948
1.08392691402e-09 7208.49496369
1.09647819614e-09 7156.38273307
1.10917481526e-09 7131.04236017
1.1220184543e-09 7008.98678719
1.13501081567e-09 7056.48895928
1.1481536215e-09 6950.37468524
1.16144861384e-09 6942.00682763
1.17489755494e-09 6809.60193063
1.18850222744e-09 6897.84616133
1.20226443462e-09 6737.79192262
1.21618600065e-09 6837.49890062
1.23026877081e-09 6747.85027697
1.24451461177e-09 6806.36567848
1.25892541179e-09 6676.28760194
1.27350308102e-09 6773.34909924
1.28824955169e-09 6591.4523409
1.30316677845e-09 6602.00217457
1.31825673856e-09 6547.46305929
1.33352143216e-09 6517.89941951
1.34896288259e-09 6451.25420847
1.36458313659e-09 6469.91323683
1.3803842646e-09 6371.77987086
1.39636836106e-09 6284.62149121
1.41253754462e-09 6322.46588044
1.42889395851e-09 6275.17879724
1.44543977075e-09 6222.90333626
1.46217717446e-09 6267.94862233
1.47910838817e-09 6216.77601021
1.49623565609e-09 6166.34461534
1.51356124844e-09 6129.11376184
1.53108746168e-09 6053.20181717
1.54881661891e-09 5986.82716258
1.56675107011e-09 5948.38730617
1.58489319246e-09 5984.46812843
1.60324539069e-09 5947.63983496
1.62181009736e-09 5890.54628715
1.6405897732e-09 5840.13775738
1.65958690744e-09 5797.74295606
1.67880401812e-09 5869.88864702
1.69824365246e-09 5788.31678408
1.71790838716e-09 5710.41051573
1.73780082875e-09 5557.85035552
1.75792361396e-09 5668.5569188
1.77827941004e-09 5575.47514319
1.79887091513e-09 5645.41678877
1.81970085861e-09 5530.48525757
1.84077200147e-09 5594.50812027
1.86208713666e-09 5456.71250351
1.88364908949e-09 5454.76850425
1.90546071796e-09 5406.72673277
1.92752491319e-09 5378.63389053
1.94984459976e-09 5406.83586622
1.97242273612e-09 5356.51177642
1.99526231497e-09 5281.07179921
2.01836636368e-09 5298.97519693
2.04173794467e-09 5280.58046762
2.06538015581e-09 5226.34955531
2.08929613085e-09 5164.64534341
2.11348903984e-09 5181.96324042
2.1379620895e-09 5147.51989204
2.16271852373e-09 5094.56488459
2.18776162395e-09 5035.29023268
2.21309470961e-09 5028.08121145
2.23872113857e-09 4966.57163519
2.26464430759e-09 4929.43837724
2.29086765277e-09 4924.41668022
2.31739464997e-09 4945.45291723
2.34422881532e-09 4950.62984076
2.37137370566e-09 4826.26616169
2.39883291902e-09 4807.11907083
2.42661009508e-09 4789.83887561
2.45470891569e-09 4764.52158732
2.4831331053e-09 4728.89362308
2.51188643151e-09 4713.48632183
2.54097270555e-09 4610.02739412
2.57039578277e-09 4670.49556198
2.60015956317e-09 4653.72944845
2.6302679919e-09 4703.54465693
2.6607250598e-09 4571.01220215
2.69153480393e-09 4572.47765128
2.72270130808e-09 4530.98920884
2.75422870334e-09 4540.43079452
2.78612116863e-09 4520.52343263
2.81838293126e-09 4436.09219746
2.8510182675e-09 4460.15280805
2.88403150313e-09 4397.66685772
2.917427014e-09 4440.88593812
2.95120922667e-09 4386.22951194
2.98538261892e-09 4383.52739714
3.0199517204e-09 4312.48624307
3.05492111322e-09 4319.20379195
3.09029543251e-09 4255.03484862
3.12607936712e-09 4219.69723853
3.16227766017e-09 4257.02603976
3.19889510969e-09 4193.91694599
3.2359365693e-09 4207.03109134
3.27340694879e-09 4114.08892905
3.31131121483e-09 4147.07664167
3.34965439158e-09 4154.25269338
3.38844156139e-09 4078.86985948
3.42767786547e-09 4094.93068312
3.46736850453e-09 4028.68421406
3.50751873953e-09 3959.37611795
3.54813389234e-09 3926.06512449
3.58921934645e-09 3876.2331037
3.6307805477e-09 3962.92884058
3.67282300498e-09 3918.2041537
3.71535229097e-09 3878.13434583
3.75837404289e-09 3903.54365676
3.80189396321e-09 3851.36514155
3.84591782045e-09 3809.18695146
3.89045144994e-09 3831.68325114
3.93550075456e-09 3766.23094011
3.98107170554e-09 3740.40268567
4.02717034326e-09 3769.16839312
4.07380277804e-09 3716.00245703
4.12097519097e-09 3648.99265656
4.1686938347e-09 3699.50015395
4.21696503429e-09 3685.85588037
4.26579518802e-09 3633.62571327
4.31519076828e-09 3658.42037094
4.3651583224e-09 3575.8098184
4.41570447353e-09 3548.58762562
4.46683592151e-09 3561.00631896
4.51855944375e-09 3523.92771988
4.57088189615e-09 3501.49895805
4.62381021399e-09 3501.30436545
4.67735141287e-09 3470.31899123
4.73151258962e-09 3410.81716854
4.78630092323e-09 3453.73300783
4.84172367584e-09 3396.1044852
4.89778819369e-09 3348.46433326
4.95450190805e-09 3293.48668919
5.01187233627e-09 3346.74175207
5.06990708275e-09 3385.84720219
5.12861383991e-09 3307.37730126
5.18800038929e-09 3249.79604372
5.2480746025e-09 3294.06971213
5.30884444231e-09 3252.17107212
5.3703179637e-09 3181.68909114
5.43250331493e-09 3215.75064437
5.49540873858e-09 3201.03311321
5.55904257271e-09 3182.52902226
5.62341325191e-09 3143.86360426
5.68852930844e-09 3103.9268017
5.75439937337e-09 3090.17237906
5.82103217771e-09 3071.29964192
5.88843655356e-09 3124.82955582
5.95662143529e-09 3062.09809046
6.02559586075e-09 3026.23636899
6.0953689724e-09 3012.08977874
6.16595001862e-09 3017.90535799
6.23734835483e-09 2987.58988967
6.3095734448e-09 2994.55809724
6.38263486191e-09 3011.62580547
6.45654229035e-09 2959.274042
6.53130552648e-09 2921.52249194
6.60693448008e-09 2916.10793548
6.68343917569e-09 2863.65968464
6.76082975392e-09 2881.09090507
6.83911647282e-09 2874.42138153
6.91830970919e-09 2844.63685692
6.99841996002e-09 2843.56417211
7.07945784384e-09 2812.96591538
7.16143410213e-09 2812.76662266
7.24435960075e-09 2807.7927214
7.32824533139e-09 2766.01533135
7.41310241301e-09 2750.11467287
7.49894209333e-09 2740.39152529
7.58577575029e-09 2724.96147945
7.67361489362e-09 2685.86796594
7.76247116629e-09 2654.80098326
7.8523563461e-09 2663.05794086
7.94328234725e-09 2632.35098547
8.03526122186e-09 2648.85969697
8.12830516164e-09 2595.09603575
8.22242649947e-09 2623.94944578
8.31763771103e-09 2610.19872554
8.41395141645e-09 2574.89046583
8.51138038203e-09 2537.63018146
8.60993752185e-09 2542.02802068
8.70963589956e-09 2532.50984097
8.81048873008e-09 2535.69422822
8.91250938134e-09 2512.9284098
9.01571137606e-09 2495.03597713
9.12010839356e-09 2486.71592201
9.22571427155e-09 2441.08134563
9.33254300797e-09 2443.92633062
9.44060876286e-09 2463.13116343
9.54992586022e-09 2435.41978417
9.6605087899e-09 2403.63673896
9.77237220956e-09 2375.50323193
9.88553094657e-09 2388.87019583
1e-08 2365.32351846
1.01157945426e-08 2359.64519651
1.02329299228e-08 2325.17470709
1.03514216668e-08 2331.45706779
1.04712854805e-08 2288.26012596
1.05925372518e-08 2326.15386148
1.07151930524e-08 2232.90198913
1.08392691402e-08 2286.16213134
1.09647819614e-08 2257.04920486
1.10917481526e-08 2266.09307789
1.1220184543e-08 2235.33234239
1.13501081567e-08 2221.79477377
1.1481536215e-08 2220.30988594
1.16144861384e-08 2194.61838578
1.17489755494e-08 2178.45126035
1.18850222744e-08 2181.20593108
1.20226443462e-08 2176.02140554
1.21618600065e-08 2142.73450331
1.23026877081e-08 2119.68660813
1.24451461177e-08 2102.69007343
1.25892541179e-08 2093.72259185
1.27350308102e-08 2100.29219539
1.28824955169e-08 2056.71898125
1.30316677845e-08 2079.90879218
1.31825673856e-08 2035.75368378
1.33352143216e-08 2091.12187105
1.34896288259e-08 2048.59606493
1.36458313659e-08 2029.56334198
1.3803842646e-08 2016.63436865
1.39636836106e-08 2006.51717771
1.41253754462e-08 2005.84022299
1.42889395851e-08 2004.13580364
1.44543977075e-08 1946.88874213
1.46217717446e-08 1954.29857121
1.47910838817e-08 1964.35506179
1.49623565609e-08 1935.89591722
1.51356124844e-08 1933.15020199
1.53108746168e-08 1919.24786825
1.54881661891e-08 1879.11540568
1.56675107011e-08 1879.09715067
1.58489319246e-08 1886.40814492
1.60324539069e-08 1871.97006853
1.62181009736e-08 1869.20046291
1.6405897732e-08 1846.37198265
1.65958690744e-08 1827.21952602
1.67880401812e-08 1811.3623902
1.69824365246e-08 1821.89707839
1.71790838716e-08 1802.84626355
1.73780082875e-08 1789.61295395
1.75792361396e-08 1807.69445043
1.77827941004e-08 1779.1456811
1.79887091513e-08 1764.51543842
1.81970085861e-08 1755.42858588
1.84077200147e-08 1738.67250406
1.86208713666e-08 1742.00235737
1.88364908949e-08 1732.78470323
1.90546071796e-08 1729.81144941
1.92752491319e-08 1713.97191356
1.94984459976e-08 1678.05949601
1.97242273612e-08 1691.25727654
1.99526231497e-08 1668.95374284
2.01836636368e-08 1679.41997586
2.04173794467e-08 1651.38705236
2.06538015581e-08 1649.61567427
2.08929613085e-08 1639.64423769
2.11348903984e-08 1624.15508772
2.1379620895e-08 1628.65769864
2.16271852373e-08 1604.00854312
2.18776162395e-08 1594.21624741
2.21309470961e-08 1592.21985455
2.23872113857e-08 1607.81460567
2.26464430759e-08 1580.83440934
2.29086765277e-08 1580.87210578
2.31739464997e-08 1552.50553363
2.34422881532e-08 1536.72032476
2.37137370566e-08 1526.6277534
2.39883291902e-08 1523.8488105
2.42661009508e-08 1514.10761352
2.45470891569e-08 1510.97469806
2.4831331053e-08 1525.15331722
2.51188643151e-08 1477.99022036
2.54097270555e-08 1493.7646585
2.57039578277e-08 1448.52422004
2.60015956317e-08 1489.10603823
2.6302679919e-08 1471.10932984
2.6607250598e-08 1453.02110152
2.69153480393e-08 1439.65404885
2.72270130808e-08 1414.55170427
2.75422870334e-08 1430.94746547
2.78612116863e-08 1409.68398787
2.81838293127e-08 1411.96417424
2.8510182675e-08 1405.97493624
2.88403150313e-08 1400.03875279
2.917427014e-08 1382.36682454
2.95120922667e-08 1392.03875172
2.98538261892e-08 1370.91489367
3.0199517204e-08 1369.21049293
3.05492111322e-08 1354.08234245
3.09029543251e-08 1340.18008195
3.12607936712e-08 1320.98118321
3.16227766017e-08 1329.1491711
3.19889510969e-08 1300.47059553
3.2359365693e-08 1295.1038803
3.27340694879e-08 1300.95371048
3.31131121483e-08 1276.29259654
3.34965439158e-08 1282.245834
3.38844156139e-08 1278.22761654
3.42767786547e-08 1276.31904086
3.46736850453e-08 1273.77804833
3.50751873953e-08 1259.88103435
3.54813389234e-08 1284.50223657
3.58921934645e-08 1249.51911525
3.6307805477e-08 1247.93164844
3.67282300498e-08 1236.87693129
