#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: enrichedLiF
#MaterialDensity [g/cm3]: 2.54246
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 12.514
#NAtomsPerVolume [1/cm3]: 1.22351e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 81.7319
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 3226.54947489
1.02329299228e-09 3223.37486016
1.03514216668e-09 3226.31227388
1.04712854805e-09 3227.87780656
1.05925372518e-09 3183.13005856
1.07151930524e-09 3176.76126254
1.08392691402e-09 3163.50127815
1.09647819614e-09 3105.44813815
1.10917481526e-09 3090.62988368
1.1220184543e-09 3069.98874963
1.13501081567e-09 3108.64206931
1.1481536215e-09 3051.3649822
1.16144861384e-09 3055.6533345
1.17489755494e-09 3026.19504811
1.18850222744e-09 3007.64743608
1.20226443462e-09 2956.18801491
1.21618600065e-09 2920.92622401
1.23026877081e-09 2961.73957845
1.24451461177e-09 2931.86294003
1.25892541179e-09 2914.15604514
1.27350308102e-09 2918.01499781
1.28824955169e-09 2872.32931345
1.30316677845e-09 2869.23054527
1.31825673856e-09 2853.01726295
1.33352143216e-09 2851.86671683
1.34896288259e-09 2820.47662964
1.36458313659e-09 2782.24635334
1.3803842646e-09 2806.78068946
1.39636836106e-09 2758.06735591
1.41253754462e-09 2762.42297983
1.42889395851e-09 2744.69946619
1.44543977075e-09 2695.23599865
1.46217717446e-09 2725.98992482
1.47910838817e-09 2691.31939177
1.49623565609e-09 2689.36812831
1.51356124844e-09 2642.5103089
1.53108746168e-09 2658.483842
1.54881661891e-09 2612.42099412
1.56675107011e-09 2625.1669385
1.58489319246e-09 2566.62640103
1.60324539069e-09 2588.80827463
1.62181009736e-09 2564.75451545
1.6405897732e-09 2570.46182376
1.65958690744e-09 2535.35794148
1.67880401812e-09 2528.17319346
1.69824365246e-09 2510.75394492
1.71790838716e-09 2493.69232433
1.73780082875e-09 2454.10456604
1.75792361396e-09 2466.5056623
1.77827941004e-09 2473.86523859
1.79887091513e-09 2422.93661902
1.81970085861e-09 2429.96362302
1.84077200147e-09 2399.56029279
1.86208713666e-09 2394.97433527
1.88364908949e-09 2376.77260108
1.90546071796e-09 2388.95826465
1.92752491319e-09 2340.15938039
1.94984459976e-09 2354.73766697
1.97242273612e-09 2336.10622945
1.99526231497e-09 2313.92639132
2.01836636368e-09 2329.95749809
2.04173794467e-09 2269.62257352
2.06538015581e-09 2278.37800697
2.08929613085e-09 2293.24828904
2.11348903984e-09 2221.01139457
2.1379620895e-09 2264.14011229
2.16271852373e-09 2219.62511399
2.18776162395e-09 2220.70847839
2.21309470961e-09 2176.02829312
2.23872113857e-09 2187.2778359
2.26464430759e-09 2177.61031633
2.29086765277e-09 2156.16347417
2.31739464997e-09 2158.85307367
2.34422881532e-09 2138.32625361
2.37137370566e-09 2114.63236189
2.39883291902e-09 2137.84668543
2.42661009508e-09 2108.68078436
2.45470891569e-09 2095.29179201
2.4831331053e-09 2064.46248577
2.51188643151e-09 2080.70460008
2.54097270555e-09 2082.37813697
2.57039578277e-09 2032.87467995
2.60015956317e-09 2012.25013222
2.6302679919e-09 2035.257526
2.6607250598e-09 2022.54878942
2.69153480393e-09 2003.3949598
2.72270130808e-09 2004.39090874
2.75422870334e-09 1975.99504006
2.78612116863e-09 1970.45684824
2.81838293126e-09 1933.46698518
2.8510182675e-09 1933.61020943
2.88403150313e-09 1960.30773727
2.917427014e-09 1912.02586909
2.95120922667e-09 1907.17177594
2.98538261892e-09 1886.08101905
3.0199517204e-09 1876.85565895
3.05492111322e-09 1862.08941451
3.09029543251e-09 1885.71673023
3.12607936712e-09 1864.71098661
3.16227766017e-09 1831.89547751
3.19889510969e-09 1816.07852935
3.2359365693e-09 1813.3864463
3.27340694879e-09 1818.75852515
3.31131121483e-09 1806.52380752
3.34965439158e-09 1799.89113791
3.38844156139e-09 1784.15298571
3.42767786547e-09 1782.09142969
3.46736850453e-09 1762.24712387
3.50751873953e-09 1747.03815066
3.54813389234e-09 1733.4569424
3.58921934645e-09 1714.2702943
3.6307805477e-09 1695.11828252
3.67282300498e-09 1698.38084384
3.71535229097e-09 1692.22169528
3.75837404289e-09 1700.45863431
3.80189396321e-09 1685.80574404
3.84591782045e-09 1671.37007602
3.89045144994e-09 1663.65250524
3.93550075456e-09 1635.47689334
3.98107170554e-09 1630.30541745
4.02717034326e-09 1638.48403829
4.07380277804e-09 1628.16515998
4.12097519097e-09 1613.91831107
4.1686938347e-09 1601.97001321
4.21696503429e-09 1588.08962351
4.26579518802e-09 1591.18746371
4.31519076828e-09 1603.93661173
4.3651583224e-09 1565.91719335
4.41570447353e-09 1565.51480803
4.46683592151e-09 1557.14753998
4.51855944375e-09 1534.27285449
4.57088189615e-09 1517.78452488
4.62381021399e-09 1517.15763707
4.67735141287e-09 1528.16921339
4.73151258962e-09 1502.98707426
4.78630092323e-09 1471.46585908
4.84172367584e-09 1496.98456772
4.89778819369e-09 1459.22364998
4.95450190805e-09 1457.62217024
5.01187233627e-09 1473.43386146
5.06990708275e-09 1433.83626838
5.12861383991e-09 1439.07224016
5.18800038929e-09 1444.8962257
5.2480746025e-09 1444.07835754
5.30884444231e-09 1416.66315968
5.3703179637e-09 1407.48609159
5.43250331493e-09 1412.92587364
5.49540873858e-09 1410.78132854
5.55904257271e-09 1398.82339295
5.62341325191e-09 1369.50113882
5.68852930844e-09 1365.60225024
5.75439937337e-09 1353.42634935
5.82103217771e-09 1364.3143722
5.88843655356e-09 1355.54489873
5.95662143529e-09 1347.04026501
6.02559586075e-09 1331.06343279
6.0953689724e-09 1321.42808013
6.16595001862e-09 1308.10604613
6.23734835483e-09 1322.94334067
6.3095734448e-09 1298.0002544
6.38263486191e-09 1292.9525492
6.45654229035e-09 1292.60873119
6.53130552648e-09 1302.29904246
6.60693448008e-09 1252.68152481
6.68343917569e-09 1246.72642859
6.76082975392e-09 1257.7963828
6.83911647282e-09 1242.71510794
6.91830970919e-09 1237.98243483
6.99841996002e-09 1241.08066957
7.07945784384e-09 1262.49932688
7.16143410213e-09 1221.89643858
7.24435960075e-09 1205.63779975
7.32824533139e-09 1209.59904264
7.41310241301e-09 1200.47059533
7.49894209333e-09 1189.2272155
7.58577575029e-09 1187.52170326
7.67361489362e-09 1184.70858663
7.76247116629e-09 1175.46468775
7.8523563461e-09 1160.94440636
7.94328234725e-09 1165.1663063
8.03526122186e-09 1155.28824165
8.12830516164e-09 1156.36575216
8.22242649947e-09 1135.91124266
8.31763771103e-09 1119.50851445
8.41395141645e-09 1111.85341846
8.51138038203e-09 1125.1836718
8.60993752185e-09 1103.97833783
8.70963589956e-09 1107.90634332
8.81048873008e-09 1102.72078536
8.91250938134e-09 1092.23482988
9.01571137606e-09 1072.83765373
9.12010839356e-09 1088.46759832
9.22571427155e-09 1091.69977603
9.33254300797e-09 1057.48566276
9.44060876286e-09 1080.48612928
9.54992586022e-09 1064.68271844
9.6605087899e-09 1054.49239341
9.77237220956e-09 1062.28991985
9.88553094657e-09 1040.50717035
1e-08 1044.58913182
1.01157945426e-08 1034.10833741
1.02329299228e-08 1018.95720749
1.03514216668e-08 1016.24339031
1.04712854805e-08 1011.1901768
1.05925372518e-08 1011.2004685
1.07151930524e-08 988.700499254
1.08392691402e-08 991.310055089
1.09647819614e-08 991.418034154
1.10917481526e-08 993.167250158
1.1220184543e-08 963.266231078
1.13501081567e-08 976.69485709
1.1481536215e-08 954.256226295
1.16144861384e-08 957.179691019
1.17489755494e-08 972.12803735
1.18850222744e-08 951.914836156
1.20226443462e-08 956.225784643
1.21618600065e-08 945.312294722
1.23026877081e-08 947.949336504
1.24451461177e-08 923.983939531
1.25892541179e-08 924.744877229
