#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: G4_LITHIUM_FLUORIDE
#MaterialDensity [g/cm3]: 2.635
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 12.9692
#NAtomsPerVolume [1/cm3]: 1.22354e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 81.7301
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 3491.10515547
1.02329299228e-09 3489.52352828
1.03514216668e-09 3489.4073506
1.04712854805e-09 3495.10051065
1.05925372518e-09 3442.24665304
1.07151930524e-09 3437.6648871
1.08392691402e-09 3423.77715128
1.09647819614e-09 3360.53957042
1.10917481526e-09 3345.73730207
1.1220184543e-09 3320.61108075
1.13501081567e-09 3360.67880029
1.1481536215e-09 3298.49134614
1.16144861384e-09 3305.25618734
1.17489755494e-09 3272.79118939
1.18850222744e-09 3254.49319408
1.20226443462e-09 3197.88978203
1.21618600065e-09 3166.26042137
1.23026877081e-09 3207.2420493
1.24451461177e-09 3170.81826717
1.25892541179e-09 3154.87715867
1.27350308102e-09 3158.19865349
1.28824955169e-09 3107.70204312
1.30316677845e-09 3107.93545987
1.31825673856e-09 3082.77423406
1.33352143216e-09 3081.78874804
1.34896288259e-09 3053.76671522
1.36458313659e-09 3012.42814064
1.3803842646e-09 3036.64150417
1.39636836106e-09 2984.55630721
1.41253754462e-09 2989.50483965
1.42889395851e-09 2964.63736453
1.44543977075e-09 2913.76204437
1.46217717446e-09 2946.07661831
1.47910838817e-09 2913.56167939
1.49623565609e-09 2910.06928894
1.51356124844e-09 2857.57837918
1.53108746168e-09 2874.09703289
1.54881661891e-09 2826.26993806
1.56675107011e-09 2838.57152196
1.58489319246e-09 2778.97123296
1.60324539069e-09 2800.96973624
1.62181009736e-09 2776.68273827
1.6405897732e-09 2781.64406043
1.65958690744e-09 2746.29431867
1.67880401812e-09 2733.70061677
1.69824365246e-09 2719.66117493
1.71790838716e-09 2700.62400827
1.73780082875e-09 2656.79577841
1.75792361396e-09 2671.7962869
1.77827941004e-09 2675.46873777
1.79887091513e-09 2621.53059862
1.81970085861e-09 2630.46062925
1.84077200147e-09 2597.67954025
1.86208713666e-09 2589.62442253
1.88364908949e-09 2572.47988265
1.90546071796e-09 2583.20484056
1.92752491319e-09 2536.05793822
1.94984459976e-09 2546.8659442
1.97242273612e-09 2526.47162066
1.99526231497e-09 2503.79994857
2.01836636368e-09 2521.99943112
2.04173794467e-09 2458.98048141
2.06538015581e-09 2463.63765244
2.08929613085e-09 2480.66527893
2.11348903984e-09 2406.76491317
2.1379620895e-09 2449.01457051
2.16271852373e-09 2401.58401341
2.18776162395e-09 2400.34726935
2.21309470961e-09 2355.04461844
2.23872113857e-09 2366.41149121
2.26464430759e-09 2357.59033427
2.29086765277e-09 2332.20749507
2.31739464997e-09 2338.8125077
2.34422881532e-09 2315.82106374
2.37137370566e-09 2286.44807477
2.39883291902e-09 2310.97438872
2.42661009508e-09 2281.31595147
2.45470891569e-09 2267.54453759
2.4831331053e-09 2233.37211368
2.51188643151e-09 2250.43436228
2.54097270555e-09 2251.75609617
2.57039578277e-09 2198.49188609
2.60015956317e-09 2177.97442904
2.6302679919e-09 2199.7729818
2.6607250598e-09 2187.55976066
2.69153480393e-09 2167.24652721
2.72270130808e-09 2167.44986376
2.75422870334e-09 2136.71951658
2.78612116863e-09 2131.83644225
2.81838293126e-09 2092.35281772
2.8510182675e-09 2091.56224137
2.88403150313e-09 2118.75158923
2.917427014e-09 2070.99588532
2.95120922667e-09 2062.237961
2.98538261892e-09 2038.45658007
3.0199517204e-09 2030.74486167
3.05492111322e-09 2015.42984411
3.09029543251e-09 2041.16662865
3.12607936712e-09 2016.32482328
3.16227766017e-09 1979.99078677
3.19889510969e-09 1965.48801566
3.2359365693e-09 1961.3249763
3.27340694879e-09 1967.52922332
3.31131121483e-09 1954.01220576
3.34965439158e-09 1945.43463559
3.38844156139e-09 1930.05735583
3.42767786547e-09 1928.1531046
3.46736850453e-09 1906.10094818
3.50751873953e-09 1889.21355374
3.54813389234e-09 1874.0710591
3.58921934645e-09 1855.32679185
3.6307805477e-09 1835.14647648
3.67282300498e-09 1838.9303175
3.71535229097e-09 1831.86792766
3.75837404289e-09 1838.04185474
3.80189396321e-09 1823.54268711
3.84591782045e-09 1808.16976392
3.89045144994e-09 1798.2390615
3.93550075456e-09 1771.51978413
3.98107170554e-09 1764.65718288
4.02717034326e-09 1772.07793682
4.07380277804e-09 1758.89655113
4.12097519097e-09 1746.31389202
4.1686938347e-09 1732.146511
4.21696503429e-09 1720.37525847
4.26579518802e-09 1719.87274439
4.31519076828e-09 1732.26108611
4.3651583224e-09 1694.32891294
4.41570447353e-09 1692.54363489
4.46683592151e-09 1687.13417088
4.51855944375e-09 1658.28488894
4.57088189615e-09 1643.20787611
4.62381021399e-09 1641.66740992
4.67735141287e-09 1652.01175339
4.73151258962e-09 1626.70527732
4.78630092323e-09 1593.62979553
4.84172367584e-09 1619.3416192
4.89778819369e-09 1580.90996205
4.95450190805e-09 1579.85299014
