#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: epoxyGd2O3_01_09
#MaterialDensity [g/cm3]: 6.7843
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 37.2681
#NAtomsPerVolume [1/cm3]: 1.09627e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 91.2182
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 43811.2696159
1.02329299228e-09 43851.5663666
1.03514216668e-09 43467.4135099
1.04712854805e-09 43861.9439394
1.05925372518e-09 43065.2637802
1.07151930524e-09 42544.586492
1.08392691402e-09 43070.9286812
1.09647819614e-09 42686.2063455
1.10917481526e-09 42069.4573371
1.1220184543e-09 42617.9045006
1.13501081567e-09 40914.9501808
1.1481536215e-09 41493.6731636
1.16144861384e-09 41932.9241383
1.17489755494e-09 41286.6971205
1.18850222744e-09 41029.9281504
1.20226443462e-09 40398.0711152
1.21618600065e-09 40638.2562281
1.23026877081e-09 39877.5550311
1.24451461177e-09 39951.3406963
1.25892541179e-09 39238.8868345
1.27350308102e-09 39576.6953367
1.28824955169e-09 39425.3964414
1.30316677845e-09 38909.6489835
1.31825673856e-09 39053.2627839
1.33352143216e-09 38664.0448188
1.34896288259e-09 38451.1025007
1.36458313659e-09 38099.1639849
1.3803842646e-09 38376.7350896
1.39636836106e-09 37641.6289591
1.41253754462e-09 37591.2637236
1.42889395851e-09 37350.1554448
1.44543977075e-09 37191.40574
1.46217717446e-09 36750.6692065
1.47910838817e-09 36275.928402
1.49623565609e-09 36370.8064286
1.51356124844e-09 36082.913974
1.53108746168e-09 36286.0756839
1.54881661891e-09 36064.3740105
1.56675107011e-09 35702.9795678
1.58489319246e-09 35559.4424136
1.60324539069e-09 34847.3835423
1.62181009736e-09 35172.0484737
1.6405897732e-09 35192.7546176
1.65958690744e-09 34640.2306295
1.67880401812e-09 33842.9799519
1.69824365246e-09 34393.222044
1.71790838716e-09 34007.8793772
1.73780082875e-09 33821.1431936
1.75792361396e-09 33861.0028194
1.77827941004e-09 33551.5195085
1.79887091513e-09 33213.6653915
1.81970085861e-09 32801.6671453
1.84077200147e-09 32894.1440341
1.86208713666e-09 32417.3111801
1.88364908949e-09 32184.9393378
1.90546071796e-09 31832.7661764
1.92752491319e-09 32170.7984106
1.94984459976e-09 31916.0087641
1.97242273612e-09 31460.6173403
1.99526231497e-09 31332.1587782
2.01836636368e-09 31521.2342254
2.04173794467e-09 31356.1295808
2.06538015581e-09 30966.8359346
2.08929613085e-09 31100.2731894
2.11348903984e-09 30711.4494428
2.1379620895e-09 30647.8100185
2.16271852373e-09 29870.7044337
2.18776162395e-09 29871.5584531
2.21309470961e-09 29921.3565283
2.23872113857e-09 29922.7668573
2.26464430759e-09 29624.9230302
2.29086765277e-09 29321.8628132
2.31739464997e-09 29336.0101993
2.34422881532e-09 29301.7963371
2.37137370566e-09 28834.9184316
2.39883291902e-09 28514.4332054
2.42661009508e-09 28658.6353068
2.45470891569e-09 28293.6940478
2.4831331053e-09 28515.5552988
2.51188643151e-09 28089.9764717
2.54097270555e-09 27874.6557315
2.57039578277e-09 27373.271362
2.60015956317e-09 27580.9542366
2.6302679919e-09 27599.9388358
2.6607250598e-09 27332.6472113
2.69153480393e-09 27054.0126849
2.72270130808e-09 27024.8281414
2.75422870334e-09 26566.676309
2.78612116863e-09 26809.7004277
2.81838293126e-09 26448.5630963
2.8510182675e-09 26380.5211081
2.88403150313e-09 26195.9572732
2.917427014e-09 25747.1999263
2.95120922667e-09 25553.6430497
2.98538261892e-09 25602.1792169
3.0199517204e-09 25574.6481787
3.05492111322e-09 25195.9204716
3.09029543251e-09 25632.9524826
3.12607936712e-09 24901.7352152
3.16227766017e-09 24934.9014166
3.19889510969e-09 24881.6223141
3.2359365693e-09 25018.5602049
3.27340694879e-09 24483.2462535
3.31131121483e-09 24334.5901631
3.34965439158e-09 24671.6173889
3.38844156139e-09 24299.5037856
3.42767786547e-09 23945.1827713
3.46736850453e-09 23853.3535099
3.50751873953e-09 24023.799692
3.54813389234e-09 23657.4361853
3.58921934645e-09 23471.2052983
3.6307805477e-09 23202.5681374
3.67282300498e-09 23504.1354399
3.71535229097e-09 23072.3489413
3.75837404289e-09 22890.8436978
3.80189396321e-09 22792.1595902
3.84591782045e-09 22705.265523
3.89045144994e-09 22627.6905052
3.93550075456e-09 22424.58062
3.98107170554e-09 22378.8092777
4.02717034326e-09 22142.2188836
4.07380277804e-09 22225.9445352
4.12097519097e-09 21823.6838334
4.1686938347e-09 21614.0259301
4.21696503429e-09 21642.9384328
4.26579518802e-09 21687.8060436
4.31519076828e-09 21314.3540919
4.3651583224e-09 21151.2513899
4.41570447353e-09 21468.1077037
4.46683592151e-09 21032.6785629
4.51855944375e-09 20965.2347017
4.57088189615e-09 20989.9501835
4.62381021399e-09 20658.36839
4.67735141287e-09 20573.0460784
4.73151258962e-09 20607.2405024
4.78630092323e-09 20147.8436307
4.84172367584e-09 20132.7911642
4.89778819369e-09 20035.8096354
4.95450190805e-09 19958.3535067
5.01187233627e-09 19806.3693419
5.06990708275e-09 19737.23243
5.12861383991e-09 19557.6172819
5.18800038929e-09 19264.1786001
5.2480746025e-09 19346.4573038
5.30884444231e-09 19539.1250376
5.3703179637e-09 19195.3871143
5.43250331493e-09 18855.5850274
5.49540873858e-09 18920.0260033
5.55904257271e-09 19003.9251119
5.62341325191e-09 18769.3179165
5.68852930844e-09 18476.3871939
5.75439937337e-09 18562.4624223
5.82103217771e-09 18628.1248874
5.88843655356e-09 18294.5346164
5.95662143529e-09 18252.4722491
6.02559586075e-09 17934.4947623
6.0953689724e-09 17935.398786
6.16595001862e-09 17863.2096712
6.23734835483e-09 17740.2619714
6.3095734448e-09 17576.4578623
6.38263486191e-09 17714.9466723
6.45654229035e-09 17447.4495245
6.53130552648e-09 17415.9601091
6.60693448008e-09 17385.3512693
6.68343917569e-09 17419.7060626
6.76082975392e-09 17214.8565186
6.83911647282e-09 16852.8811631
6.91830970919e-09 16898.5318438
6.99841996002e-09 16722.6654499
7.07945784384e-09 16539.6283844
7.16143410213e-09 16710.484287
7.24435960075e-09 16402.6862123
