#FileType: Geant4 XSECTSPY DATA
#PhysicsList: ESS_EJ321Pchar
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: NE213A
#MaterialDensity [g/cm3]: 0.874
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 1.71487
#NAtomsPerVolume [1/cm3]: 3.06924e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 32.5814
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 109025.381135
1.02329299228e-09 106959.263472
1.03514216668e-09 107853.242301
1.04712854805e-09 106940.070456
1.05925372518e-09 104311.548325
1.07151930524e-09 106258.615778
1.08392691402e-09 102466.885041
1.09647819614e-09 104801.772356
1.10917481526e-09 103390.693885
1.1220184543e-09 102881.80409
1.13501081567e-09 101111.008409
1.1481536215e-09 99509.8200927
1.16144861384e-09 100789.959284
1.17489755494e-09 100290.419224
1.18850222744e-09 98806.7019249
1.20226443462e-09 98487.4376386
1.21618600065e-09 97803.0020675
1.23026877081e-09 97794.3119942
1.24451461177e-09 97492.2499927
1.25892541179e-09 97143.0179556
1.27350308102e-09 96420.8846091
1.28824955169e-09 95406.2117704
1.30316677845e-09 95144.0598846
1.31825673856e-09 97447.2468246
1.33352143216e-09 93551.6548451
1.34896288259e-09 93340.6442192
1.36458313659e-09 91634.8422683
1.3803842646e-09 92404.1124831
1.39636836106e-09 92261.490927
1.41253754462e-09 91506.4198593
1.42889395851e-09 90919.4856797
1.44543977075e-09 91833.3583614
1.46217717446e-09 89245.7848643
1.47910838817e-09 89514.1475624
1.49623565609e-09 89048.1698914
1.51356124844e-09 87506.8350057
1.53108746168e-09 87151.8777904
1.54881661891e-09 87905.0169992
1.56675107011e-09 86989.293636
1.58489319246e-09 88384.844807
1.60324539069e-09 85385.1244719
1.62181009736e-09 85265.785699
1.6405897732e-09 83221.8297748
1.65958690744e-09 85128.9734946
1.67880401812e-09 83741.1970521
1.69824365246e-09 82913.8703701
1.71790838716e-09 82726.0026005
1.73780082875e-09 82518.9248526
1.75792361396e-09 82237.2807723
