#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: NCrystal:cfg=NCrystalExtra/B4C_sg166.ncmat;atomdb=B is 0.99 B10 0.01 B11
#MaterialDensity [g/cm3]: 2.3656
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 10.4204
#NAtomsPerVolume [1/cm3]: 1.36712e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 73.1464
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
1.01157945426e-09 15397647.5813
1.02329299228e-09 15325377.9675
1.03514216668e-09 15233298.6009
1.04712854805e-09 15152021.7927
1.05925372518e-09 15064142.0835
1.07151930524e-09 14971709.3178
1.08392691402e-09 14885874.3613
1.09647819614e-09 14804471.9965
1.10917481526e-09 14717986.8386
1.1220184543e-09 14636830.3916
1.13501081567e-09 14550353.5871
1.1481536215e-09 14467642.9852
1.16144861384e-09 14384093.4647
1.17489755494e-09 14301159.0088
1.18850222744e-09 14220984.5854
1.20226443462e-09 14138059.5593
1.21618600065e-09 14058970.8796
1.23026877081e-09 13976661.7998
1.24451461177e-09 13889169.4352
1.25892541179e-09 13817075.229
1.27350308102e-09 13731768.3947
1.28824955169e-09 13657820.673
1.30316677845e-09 13576916.4112
1.31825673856e-09 13499482.1475
1.33352143216e-09 13428219.2958
1.34896288259e-09 13347488.2274
1.36458313659e-09 13264094.2343
1.3803842646e-09 13192130.1964
1.39636836106e-09 13114065.3833
1.41253754462e-09 13039856.5712
1.42889395851e-09 12964129.7206
1.44543977075e-09 12893132.5107
1.46217717446e-09 12819415.6321
1.47910838817e-09 12746388.886
1.49623565609e-09 12672104.0312
1.51356124844e-09 12601993.0729
1.53108746168e-09 12522221.8655
1.54881661891e-09 12457931.285
1.56675107011e-09 12383381.6308
1.58489319246e-09 12315239.313
1.60324539069e-09 12241285.2681
1.62181009736e-09 12171890.5676
1.6405897732e-09 12100456.793
1.65958690744e-09 12030260.0755
1.67880401812e-09 11961824.7136
1.69824365246e-09 11896190.0579
1.71790838716e-09 11826109.2387
1.73780082875e-09 11756728.3663
1.75792361396e-09 11692728.4363
1.77827941004e-09 11624937.5468
1.79887091513e-09 11557081.639
1.81970085861e-09 11492338.6751
1.84077200147e-09 11426582.5954
1.86208713666e-09 11358549.6432
1.88364908949e-09 11294864.37
1.90546071796e-09 11229495.5395
1.92752491319e-09 11164403.6422
1.94984459976e-09 11101642.027
1.97242273612e-09 11035877.4841
1.99526231497e-09 10977222.6219
2.01836636368e-09 10911464.6935
2.04173794467e-09 10842900.1468
2.06538015581e-09 10786913.5979
2.08929613085e-09 10725394.1703
2.11348903984e-09 10659060.1988
2.1379620895e-09 10601239.4427
2.16271852373e-09 10539231.4381
2.18776162395e-09 10478096.404
2.21309470961e-09 10422122.7591
2.23872113857e-09 10363796.2254
2.26464430759e-09 10302554.1314
2.29086765277e-09 10241783.0947
2.31739464997e-09 10182159.1955
2.34422881532e-09 10124985.6097
2.37137370566e-09 10067065.0532
2.39883291902e-09 10006617.8023
2.42661009508e-09 9948260.46028
2.45470891569e-09 9895628.26112
2.4831331053e-09 9838213.57439
2.51188643151e-09 9777428.28741
2.54097270555e-09 9722624.58257
2.57039578277e-09 9671390.57341
2.60015956317e-09 9612434.96749
2.6302679919e-09 9558820.7556
2.6607250598e-09 9503842.12752
2.69153480393e-09 9449674.89238
2.72270130808e-09 9394876.31825
2.75422870334e-09 9339994.24371
2.78612116863e-09 9289998.19923
2.81838293126e-09 9234738.86962
2.8510182675e-09 9180883.89675
2.88403150313e-09 9127639.81605
2.917427014e-09 9074169.42315
2.95120922667e-09 9024590.75211
2.98538261892e-09 8972367.34688
3.0199517204e-09 8919912.21362
3.05492111322e-09 8870486.94919
3.09029543251e-09 8815602.0703
3.12607936712e-09 8765312.18779
3.16227766017e-09 8714871.01894
3.19889510969e-09 8667693.50184
3.2359365693e-09 8618667.94488
3.27340694879e-09 8567399.40123
3.31131121483e-09 8518903.07795
3.34965439158e-09 8467176.4284
3.38844156139e-09 8420694.17624
3.42767786547e-09 8374190.51244
3.46736850453e-09 8322707.59641
3.50751873953e-09 8276941.31951
3.54813389234e-09 8229260.99905
3.58921934645e-09 8182312.03362
3.6307805477e-09 8134955.19838
3.67282300498e-09 8089255.07043
3.71535229097e-09 8044839.4563
3.75837404289e-09 7992383.49791
3.80189396321e-09 7950606.253
3.84591782045e-09 7903394.07677
3.89045144994e-09 7861409.69411
