#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: NCrystal:cfg=NCrystalExtra/B4C_sg166.ncmat
#MaterialDensity [g/cm3]: 2.50856
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 11.051
#NAtomsPerVolume [1/cm3]: 1.36702e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 73.1519
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
1.01157945426e-09 3095082.69564
1.02329299228e-09 3080555.77327
1.03514216668e-09 3062046.89049
1.04712854805e-09 3045709.43105
1.05925372518e-09 3028044.72184
1.07151930524e-09 3009464.80227
1.08392691402e-09 2992211.10899
1.09647819614e-09 2975848.41141
1.10917481526e-09 2958464.0211
1.1220184543e-09 2942150.75548
1.13501081567e-09 2924768.04428
1.1481536215e-09 2908142.37784
1.16144861384e-09 2891348.08029
1.17489755494e-09 2874677.41692
1.18850222744e-09 2858561.54798
1.20226443462e-09 2841892.78009
1.21618600065e-09 2825995.15661
1.23026877081e-09 2809450.20016
1.24451461177e-09 2791863.35111
1.25892541179e-09 2777371.68745
1.27350308102e-09 2760224.15206
1.28824955169e-09 2745359.91305
1.30316677845e-09 2729097.33921
1.31825673856e-09 2713532.27005
1.33352143216e-09 2699207.71703
1.34896288259e-09 2682979.95682
1.36458313659e-09 2666216.92185
1.3803842646e-09 2651751.42333
1.39636836106e-09 2636059.60736
1.41253754462e-09 2621142.88653
1.42889395851e-09 2605921.02465
1.44543977075e-09 2591649.86831
1.46217717446e-09 2576832.0311
1.47910838817e-09 2562152.91749
1.49623565609e-09 2547220.91131
1.51356124844e-09 2533127.90051
1.53108746168e-09 2517093.08206
1.54881661891e-09 2504170.02597
1.56675107011e-09 2489184.79245
1.58489319246e-09 2475487.49826
1.60324539069e-09 2460621.98823
1.62181009736e-09 2446672.95248
1.6405897732e-09 2432314.04224
1.65958690744e-09 2418203.79295
1.67880401812e-09 2404447.59394
1.69824365246e-09 2391254.36518
1.71790838716e-09 2377167.41262
1.73780082875e-09 2363221.15646
1.75792361396e-09 2350356.52406
1.77827941004e-09 2336729.87052
1.79887091513e-09 2323090.14763
1.81970085861e-09 2310076.15792
1.84077200147e-09 2296858.52171
1.86208713666e-09 2283183.2111
1.88364908949e-09 2270381.82792
1.90546071796e-09 2257242.03269
1.92752491319e-09 2244157.90384
1.94984459976e-09 2231542.18522
1.97242273612e-09 2218322.84781
1.99526231497e-09 2206532.62804
2.01836636368e-09 2193314.62021
2.04173794467e-09 2179532.45374
2.06538015581e-09 2168278.5919
2.08929613085e-09 2155912.56554
2.11348903984e-09 2142578.76724
2.1379620895e-09 2130956.21121
2.16271852373e-09 2118491.97593
2.18776162395e-09 2106203.21656
2.21309470961e-09 2094951.94854
2.23872113857e-09 2083227.72612
2.26464430759e-09 2070917.44661
2.29086765277e-09 2058701.85439
2.31739464997e-09 2046716.84839
2.34422881532e-09 2035224.38013
2.37137370566e-09 2023581.76323
2.39883291902e-09 2011431.25521
2.42661009508e-09 1999700.84
2.45470891569e-09 1989121.23633
2.4831331053e-09 1977580.30435
2.51188643151e-09 1965361.84767
2.54097270555e-09 1954345.74942
2.57039578277e-09 1944047.19607
2.60015956317e-09 1932196.52377
2.6302679919e-09 1921419.52562
2.6607250598e-09 1910368.26604
2.69153480393e-09 1899480.10463
2.72270130808e-09 1888465.03771
2.75422870334e-09 1877433.18636
2.78612116863e-09 1867383.47641
2.81838293126e-09 1856275.79298
2.8510182675e-09 1845450.39945
2.88403150313e-09 1834747.80141
2.917427014e-09 1823999.71233
2.95120922667e-09 1814033.89866
2.98538261892e-09 1803536.4667
3.0199517204e-09 1792992.45506
