#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: G4_Cd
#MaterialDensity [g/cm3]: 8.65
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 112.411
#NAtomsPerVolume [1/cm3]: 4.63401e+22
#ConvertXSectBarnToMeanFreePathMilliMeter: 215.796
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 3544.55083972
1.02329299228e-09 3528.635719
1.03514216668e-09 3555.12686029
1.04712854805e-09 3539.23267349
1.05925372518e-09 3466.01900034
1.07151930524e-09 3432.09070848
1.08392691402e-09 3411.75168731
1.09647819614e-09 3347.26894647
1.10917481526e-09 3352.24059674
1.1220184543e-09 3336.85204462
1.13501081567e-09 3352.88678317
1.1481536215e-09 3362.04359186
1.16144861384e-09 3266.96859374
1.17489755494e-09 3297.84102172
1.18850222744e-09 3249.35611973
1.20226443462e-09 3256.96505146
1.21618600065e-09 3199.36856505
1.23026877081e-09 3200.01554513
1.24451461177e-09 3143.24018746
1.25892541179e-09 3214.90384965
1.27350308102e-09 3192.17649192
1.28824955169e-09 3130.70542808
1.30316677845e-09 3105.54051705
1.31825673856e-09 3120.49211498
1.33352143216e-09 3074.34151803
1.34896288259e-09 3039.59381934
1.36458313659e-09 3024.71108964
1.3803842646e-09 2986.22787045
1.39636836106e-09 3062.57507754
1.41253754462e-09 3009.21698745
1.42889395851e-09 2953.70794232
1.44543977075e-09 2922.10056066
1.46217717446e-09 2990.7878701
1.47910838817e-09 2905.47046463
1.49623565609e-09 2915.79587339
1.51356124844e-09 2909.90218009
1.53108746168e-09 2897.97339007
1.54881661891e-09 2912.97376683
1.56675107011e-09 2850.20741199
1.58489319246e-09 2842.54456336
1.60324539069e-09 2815.60468122
1.62181009736e-09 2830.81579401
1.6405897732e-09 2769.73595543
1.65958690744e-09 2749.6813285
1.67880401812e-09 2771.39198461
1.69824365246e-09 2723.6031958
1.71790838716e-09 2687.67771405
1.73780082875e-09 2716.19418042
1.75792361396e-09 2678.7822071
1.77827941004e-09 2725.91180849
1.79887091513e-09 2637.73411285
1.81970085861e-09 2650.59201049
1.84077200147e-09 2623.55689713
1.86208713666e-09 2591.51503236
1.88364908949e-09 2593.05894186
1.90546071796e-09 2585.4825831
1.92752491319e-09 2539.498047
1.94984459976e-09 2570.87120564
1.97242273612e-09 2549.30537628
1.99526231497e-09 2494.05041762
2.01836636368e-09 2543.80139797
2.04173794467e-09 2495.77978322
2.06538015581e-09 2476.73449251
2.08929613085e-09 2490.26613135
2.11348903984e-09 2474.54183115
2.1379620895e-09 2478.51578198
2.16271852373e-09 2450.47656038
2.18776162395e-09 2431.5444488
2.21309470961e-09 2423.45093782
2.23872113857e-09 2364.76013631
2.26464430759e-09 2376.1705282
2.29086765277e-09 2321.56939866
2.31739464997e-09 2341.82473053
2.34422881532e-09 2335.26239056
2.37137370566e-09 2310.13911703
2.39883291902e-09 2290.12446934
2.42661009508e-09 2269.29411489
2.45470891569e-09 2262.00591555
2.4831331053e-09 2313.36400922
2.51188643151e-09 2235.81425525
2.54097270555e-09 2243.81785326
2.57039578277e-09 2234.27556143
2.60015956317e-09 2224.09201271
2.6302679919e-09 2215.9747116
2.6607250598e-09 2179.19618073
2.69153480393e-09 2160.42457452
2.72270130808e-09 2142.34374795
2.75422870334e-09 2185.19633383
2.78612116863e-09 2153.10156745
2.81838293126e-09 2130.77209666
2.8510182675e-09 2098.92601093
2.88403150313e-09 2114.8742168
2.917427014e-09 2094.46265786
2.95120922667e-09 2048.68280921
2.98538261892e-09 2033.99456375
3.0199517204e-09 2025.50962692
3.05492111322e-09 2075.64482751
3.09029543251e-09 2013.98427447
3.12607936712e-09 1993.95756575
3.16227766017e-09 2012.2364557
3.19889510969e-09 2018.80186504
3.2359365693e-09 1959.51491481
3.27340694879e-09 1963.62232154
3.31131121483e-09 1975.34713067
3.34965439158e-09 1981.32054197
3.38844156139e-09 1932.08918927
3.42767786547e-09 1909.98513801
3.46736850453e-09 1896.57205637
3.50751873953e-09 1908.63245943
3.54813389234e-09 1893.55697909
3.58921934645e-09 1869.99126797
3.6307805477e-09 1835.57860664
3.67282300498e-09 1854.06167351
3.71535229097e-09 1854.61300589
3.75837404289e-09 1852.96398736
3.80189396321e-09 1847.36990471
3.84591782045e-09 1814.15829024
3.89045144994e-09 1827.59788678
3.93550075456e-09 1785.79996263
3.98107170554e-09 1784.01874884
4.02717034326e-09 1796.40558696
4.07380277804e-09 1775.09270185
4.12097519097e-09 1771.73931991
4.1686938347e-09 1763.57189511
4.21696503429e-09 1726.91090554
4.26579518802e-09 1746.68851457
4.31519076828e-09 1683.93774048
4.3651583224e-09 1710.7721337
4.41570447353e-09 1708.32282998
4.46683592151e-09 1689.58217832
4.51855944375e-09 1663.98110514
4.57088189615e-09 1650.78263396
4.62381021399e-09 1646.44792116
4.67735141287e-09 1640.93696504
4.73151258962e-09 1628.66477844
4.78630092323e-09 1644.4036115
4.84172367584e-09 1607.91524739
4.89778819369e-09 1605.64577913
4.95450190805e-09 1576.0714064
5.01187233627e-09 1590.9264756
5.06990708275e-09 1567.38700257
5.12861383991e-09 1581.45522229
5.18800038929e-09 1566.72494439
5.2480746025e-09 1546.43789515
5.30884444231e-09 1552.85733618
5.3703179637e-09 1555.79261946
5.43250331493e-09 1536.13511233
5.49540873858e-09 1505.20506929
5.55904257271e-09 1503.41998846
5.62341325191e-09 1513.0972861
5.68852930844e-09 1483.40809081
5.75439937337e-09 1477.57355737
5.82103217771e-09 1470.75821217
5.88843655356e-09 1454.50080996
5.95662143529e-09 1468.43904275
6.02559586075e-09 1443.43472168
6.0953689724e-09 1427.80633436
6.16595001862e-09 1426.55503803
6.23734835483e-09 1414.41225528
6.3095734448e-09 1397.48717195
6.38263486191e-09 1392.20549415
6.45654229035e-09 1399.26831967
6.53130552648e-09 1381.47927771
6.60693448008e-09 1396.55972011
6.68343917569e-09 1389.29229262
6.76082975392e-09 1390.07749721
6.83911647282e-09 1359.09178404
6.91830970919e-09 1348.93597785
6.99841996002e-09 1340.76425975
7.07945784384e-09 1342.10613752
7.16143410213e-09 1337.27127681
7.24435960075e-09 1314.2974494
7.32824533139e-09 1323.29333231
7.41310241301e-09 1308.13379279
7.49894209333e-09 1314.29167833
7.58577575029e-09 1310.27089748
7.67361489362e-09 1293.56702682
7.76247116629e-09 1264.48529746
7.8523563461e-09 1260.4889247
7.94328234725e-09 1263.68950656
8.03526122186e-09 1273.38320623
8.12830516164e-09 1255.30192985
8.22242649947e-09 1222.0976706
8.31763771103e-09 1246.65389227
8.41395141645e-09 1250.1332917
8.51138038203e-09 1241.2516853
8.60993752185e-09 1221.62491301
8.70963589956e-09 1210.98094661
8.81048873008e-09 1218.17379898
8.91250938134e-09 1188.24384175
9.01571137606e-09 1192.5657119
9.12010839356e-09 1200.26641677
9.22571427155e-09 1163.62743255
9.33254300797e-09 1156.52157388
9.44060876286e-09 1171.1625144
9.54992586022e-09 1142.89241215
9.6605087899e-09 1132.87889233
9.77237220956e-09 1155.37441197
9.88553094657e-09 1136.26584696
1e-08 1139.68916168
1.01157945426e-08 1126.91028746
1.02329299228e-08 1128.81707099
1.03514216668e-08 1108.16569823
1.04712854805e-08 1103.99107417
1.05925372518e-08 1086.04698809
1.07151930524e-08 1097.04952428
1.08392691402e-08 1086.71605735
1.09647819614e-08 1087.86900912
1.10917481526e-08 1068.65216956
1.1220184543e-08 1072.21452331
1.13501081567e-08 1059.3690022
1.1481536215e-08 1069.63637027
1.16144861384e-08 1052.49778002
1.17489755494e-08 1034.8131808
1.18850222744e-08 1031.55405958
1.20226443462e-08 1021.22786931
1.21618600065e-08 1006.5176068
1.23026877081e-08 1004.04267083
1.24451461177e-08 994.898256726
1.25892541179e-08 988.750926663
1.27350308102e-08 1008.21079736
1.28824955169e-08 1000.01654125
1.30316677845e-08 990.348165261
1.31825673856e-08 974.188539765
1.33352143216e-08 963.275196612
1.34896288259e-08 963.488284997
1.36458313659e-08 961.962036083
1.3803842646e-08 952.003267186
1.39636836106e-08 954.761590853
1.41253754462e-08 954.237195591
1.42889395851e-08 941.359379648
1.44543977075e-08 930.495830857
1.46217717446e-08 938.382627762
1.47910838817e-08 917.517022483
1.49623565609e-08 936.840264088
1.51356124844e-08 927.48072152
1.53108746168e-08 914.120562116
1.54881661891e-08 903.775313513
1.56675107011e-08 901.391018623
1.58489319246e-08 903.175937418
1.60324539069e-08 896.590640055
1.62181009736e-08 881.679432864
1.6405897732e-08 863.282659795
1.65958690744e-08 876.007754186
1.67880401812e-08 871.833348
1.69824365246e-08 874.880503675
1.71790838716e-08 861.348896386
1.73780082875e-08 861.95336123
1.75792361396e-08 850.105728009
1.77827941004e-08 853.626640487
1.79887091513e-08 840.019327295
1.81970085861e-08 839.249820536
1.84077200147e-08 827.163177644
1.86208713666e-08 822.239002778
1.88364908949e-08 818.86960575
1.90546071796e-08 820.953907835
1.92752491319e-08 813.631464628
1.94984459976e-08 809.7375196
1.97242273612e-08 795.016723467
1.99526231497e-08 798.696924436
2.01836636368e-08 796.967611871
2.04173794467e-08 799.019564674
2.06538015581e-08 794.729275602
2.08929613085e-08 784.432600967
2.11348903984e-08 769.869327293
2.1379620895e-08 769.278592631
2.16271852373e-08 760.719298524
2.18776162395e-08 773.837695159
2.21309470961e-08 764.752610204
2.23872113857e-08 744.469783378
2.26464430759e-08 752.819986003
2.29086765277e-08 734.99950781
2.31739464997e-08 744.762504684
2.34422881532e-08 729.446942367
2.37137370566e-08 715.318828096
2.39883291902e-08 721.528593137
2.42661009508e-08 725.152696501
2.45470891569e-08 729.796225946
2.4831331053e-08 711.932432449
2.51188643151e-08 712.488166549
2.54097270555e-08 699.04275754
2.57039578277e-08 694.320075681
2.60015956317e-08 697.830081958
2.6302679919e-08 694.088189762
2.6607250598e-08 691.362925865
2.69153480393e-08 697.729869792
2.72270130808e-08 677.768540231
2.75422870334e-08 666.532628698
2.78612116863e-08 662.120235467
2.81838293127e-08 676.527135689
2.8510182675e-08 667.435136281
2.88403150313e-08 662.081974484
2.917427014e-08 663.650987236
2.95120922667e-08 660.352999895
2.98538261892e-08 644.698963944
3.0199517204e-08 647.469177074
3.05492111322e-08 638.282514966
3.09029543251e-08 633.265425372
3.12607936712e-08 634.533089648
3.16227766017e-08 635.71415898
3.19889510969e-08 618.639786887
3.2359365693e-08 625.991966127
3.27340694879e-08 624.016295226
3.31131121483e-08 629.136511492
3.34965439158e-08 615.887207842
3.38844156139e-08 608.161314919
3.42767786547e-08 620.757039129
3.46736850453e-08 597.086723493
3.50751873953e-08 601.738118913
3.54813389234e-08 596.621759553
3.58921934645e-08 587.402916488
3.6307805477e-08 590.837995992
3.67282300498e-08 588.136862061
3.71535229097e-08 584.777041302
3.75837404289e-08 576.515357668
3.80189396321e-08 583.774746483
3.84591782045e-08 579.67658175
3.89045144994e-08 575.180128887
3.93550075456e-08 567.950352187
3.98107170554e-08 562.714280979
4.02717034326e-08 558.781923087
4.07380277804e-08 551.186883923
4.12097519097e-08 558.673101935
4.1686938347e-08 555.099944081
4.21696503429e-08 541.306539155
4.26579518802e-08 542.130594764
4.31519076828e-08 538.981741029
4.3651583224e-08 542.790139505
4.41570447353e-08 537.722091111
4.46683592151e-08 534.296581421
4.51855944375e-08 533.219251142
4.57088189615e-08 524.840004639
4.62381021399e-08 525.427076105
4.67735141287e-08 523.408776733
4.73151258962e-08 520.013380352
4.78630092323e-08 523.943606949
4.84172367584e-08 508.973786038
4.89778819369e-08 513.762293923
4.95450190805e-08 502.208634796
5.01187233627e-08 506.789268909
5.06990708275e-08 502.888013455
5.12861383992e-08 495.331619729
5.18800038929e-08 499.671412637
5.2480746025e-08 492.508301954
5.30884444231e-08 486.035439614
5.3703179637e-08 487.646900815
5.43250331493e-08 483.156717843
5.49540873858e-08 480.532366625
5.55904257271e-08 479.060149207
5.62341325191e-08 478.818657456
5.68852930844e-08 469.280319195
5.75439937337e-08 468.361704823
5.82103217771e-08 462.366350674
5.88843655356e-08 464.116241737
5.95662143529e-08 459.81324654
6.02559586075e-08 452.399297813
6.0953689724e-08 455.324571584
6.16595001862e-08 447.923855627
6.23734835483e-08 450.716306608
6.3095734448e-08 448.714107883
6.38263486191e-08 441.083939548
6.45654229035e-08 447.766873988
6.53130552648e-08 441.620728984
6.60693448008e-08 441.936327829
6.68343917569e-08 438.658881784
6.76082975392e-08 432.73636298
6.83911647282e-08 427.267192503
6.91830970919e-08 430.405838041
6.99841996002e-08 426.750668557
7.07945784384e-08 420.900557293
7.16143410213e-08 416.144755966
7.24435960075e-08 415.123914445
7.32824533139e-08 419.922781369
7.41310241301e-08 412.474368499
7.49894209333e-08 410.150516422
7.58577575029e-08 410.366344728
7.67361489362e-08 404.602561722
7.76247116629e-08 408.397812489
7.8523563461e-08 400.371991088
7.94328234725e-08 395.45277728
8.03526122186e-08 401.71496314
8.12830516164e-08 391.946671648
