#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: Gd2O3
#MaterialDensity [g/cm3]: 7.407
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 72.5005
#NAtomsPerVolume [1/cm3]: 6.15251e+22
#ConvertXSectBarnToMeanFreePathMilliMeter: 162.535
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 25977.104612
1.02329299228e-09 26009.5865395
1.03514216668e-09 25417.4729398
1.04712854805e-09 25257.2834578
1.05925372518e-09 25298.595637
1.07151930524e-09 25312.4667643
1.08392691402e-09 25228.3656469
1.09647819614e-09 25060.172407
1.10917481526e-09 24830.5319964
1.1220184543e-09 24580.7140717
1.13501081567e-09 24433.4672099
1.1481536215e-09 24409.4866504
1.16144861384e-09 23988.7828061
1.17489755494e-09 23779.3575415
1.18850222744e-09 24182.5959196
1.20226443462e-09 23456.638277
1.21618600065e-09 23372.154339
1.23026877081e-09 23585.1514312
1.24451461177e-09 23486.3230109
1.25892541179e-09 22946.4998706
1.27350308102e-09 23492.4290691
1.28824955169e-09 22756.2848692
1.30316677845e-09 22828.732793
1.31825673856e-09 22758.1901878
1.33352143216e-09 22843.0405686
1.34896288259e-09 22642.1431331
1.36458313659e-09 22535.8395882
1.3803842646e-09 22322.4815912
1.39636836106e-09 22081.1037573
1.41253754462e-09 22025.0832685
1.42889395851e-09 21724.826839
1.44543977075e-09 21823.3322038
1.46217717446e-09 21717.719981
1.47910838817e-09 21748.2811003
1.49623565609e-09 21637.1591901
1.51356124844e-09 21173.2923838
1.53108746168e-09 21137.459893
1.54881661891e-09 20759.0467111
1.56675107011e-09 21054.4325826
1.58489319246e-09 20835.2814111
1.60324539069e-09 20435.8587838
1.62181009736e-09 20353.3185843
1.6405897732e-09 20031.2723464
1.65958690744e-09 20819.5935537
1.67880401812e-09 19914.0338249
1.69824365246e-09 20099.8644889
1.71790838716e-09 19677.1493667
1.73780082875e-09 19722.0799109
1.75792361396e-09 19457.7747574
1.77827941004e-09 19548.4609807
1.79887091513e-09 19373.2434693
1.81970085861e-09 19385.2229161
1.84077200147e-09 18885.6814771
1.86208713666e-09 19291.5136848
1.88364908949e-09 19035.228074
1.90546071796e-09 19120.8298942
1.92752491319e-09 19088.5071102
1.94984459976e-09 18633.9547659
1.97242273612e-09 18428.0413269
1.99526231497e-09 18700.0066327
2.01836636368e-09 18648.1831992
2.04173794467e-09 18302.3311523
2.06538015581e-09 18204.2665118
2.08929613085e-09 18129.4494265
2.11348903984e-09 17995.6324175
2.1379620895e-09 17949.8377449
2.16271852373e-09 17959.238895
2.18776162395e-09 17780.2568971
2.21309470961e-09 17462.4066186
2.23872113857e-09 17536.3631645
2.26464430759e-09 17405.3271928
2.29086765277e-09 17254.9853826
2.31739464997e-09 16995.156202
2.34422881532e-09 16994.1647697
2.37137370566e-09 17047.557923
2.39883291902e-09 16502.3656081
2.42661009508e-09 16822.3834757
2.45470891569e-09 16643.0946149
2.4831331053e-09 16283.8793797
2.51188643151e-09 16428.7277643
2.54097270555e-09 16501.9291615
2.57039578277e-09 16412.8476549
2.60015956317e-09 16309.0856619
2.6302679919e-09 16280.5304156
2.6607250598e-09 15948.8227065
2.69153480393e-09 15932.2488468
2.72270130808e-09 15945.5587468
2.75422870334e-09 15571.1601385
2.78612116863e-09 15585.6646966
2.81838293126e-09 15245.2546578
2.8510182675e-09 15500.5652921
2.88403150313e-09 15552.7973387
2.917427014e-09 15438.2194378
2.95120922667e-09 15278.7857958
2.98538261892e-09 15059.4828948
3.0199517204e-09 15023.7103194
3.05492111322e-09 14875.3028981
3.09029543251e-09 14703.2609405
3.12607936712e-09 14817.4181966
3.16227766017e-09 14746.7888827
3.19889510969e-09 14430.2498545
3.2359365693e-09 14574.5596319
3.27340694879e-09 14449.4129382
3.31131121483e-09 14552.2142974
3.34965439158e-09 14309.7086487
3.38844156139e-09 14128.2861501
3.42767786547e-09 13887.1551937
3.46736850453e-09 13993.5540778
3.50751873953e-09 13690.4169208
3.54813389234e-09 14011.1942358
3.58921934645e-09 13673.794386
3.6307805477e-09 13792.2002902
3.67282300498e-09 13725.2681923
3.71535229097e-09 13527.0917648
3.75837404289e-09 13429.605381
3.80189396321e-09 13574.4987153
3.84591782045e-09 13452.3660822
3.89045144994e-09 13298.3681486
3.93550075456e-09 13025.3820965
3.98107170554e-09 12827.5355347
4.02717034326e-09 12977.0641483
4.07380277804e-09 12902.1178821
4.12097519097e-09 12863.3481805
4.1686938347e-09 12797.7093376
4.21696503429e-09 12581.1936173
4.26579518802e-09 12650.6309112
4.31519076828e-09 12708.0878422
4.3651583224e-09 12567.1559358
4.41570447353e-09 12372.9100766
4.46683592151e-09 12352.0091658
4.51855944375e-09 12263.4877444
4.57088189615e-09 12019.0095484
4.62381021399e-09 12139.7665489
4.67735141287e-09 12175.3322017
4.73151258962e-09 12036.357893
4.78630092323e-09 11723.154923
4.84172367584e-09 11799.2957195
4.89778819369e-09 11730.5074384
4.95450190805e-09 11758.4057152
5.01187233627e-09 11785.6541479
5.06990708275e-09 11479.5075933
5.12861383991e-09 11520.5960877
5.18800038929e-09 11637.8622626
5.2480746025e-09 11494.8809038
5.30884444231e-09 11190.8301711
5.3703179637e-09 11282.8174031
5.43250331493e-09 11090.8362618
5.49540873858e-09 11147.0236215
5.55904257271e-09 10996.6173291
5.62341325191e-09 11033.7315987
5.68852930844e-09 11026.6806828
5.75439937337e-09 10849.494938
5.82103217771e-09 10795.6744483
5.88843655356e-09 10673.2131967
5.95662143529e-09 10766.9278664
6.02559586075e-09 10740.0193331
