#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: NCrystal:cfg=NCrystalExtra/LiF_sg225_cod9008667.ncmat;atomdb=Li is 0.99 Li6 0.01 Li7
#MaterialDensity [g/cm3]: 2.56363
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 12.5118
#NAtomsPerVolume [1/cm3]: 1.23392e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 81.0425
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
1.01157945426e-09 2349979.98063
1.02329299228e-09 2338902.7432
1.03514216668e-09 2324976.49832
1.04712854805e-09 2312903.21097
1.05925372518e-09 2299156.8152
1.07151930524e-09 2285477.22638
1.08392691402e-09 2272183.89392
1.09647819614e-09 2260328.87135
1.10917481526e-09 2246158.50219
1.1220184543e-09 2234098.58579
1.13501081567e-09 2221070.78706
1.1481536215e-09 2208763.03701
1.16144861384e-09 2195095.29142
1.17489755494e-09 2183139.88054
1.18850222744e-09 2170496.32427
1.20226443462e-09 2157916.49053
1.21618600065e-09 2145572.0389
1.23026877081e-09 2132844.64558
1.24451461177e-09 2120349.62979
1.25892541179e-09 2108869.54307
1.27350308102e-09 2096650.85024
1.28824955169e-09 2083920.53517
1.30316677845e-09 2072566.01205
1.31825673856e-09 2060092.43371
1.33352143216e-09 2049336.80823
1.34896288259e-09 2037678.37208
1.36458313659e-09 2025147.66302
1.3803842646e-09 2013658.84789
1.39636836106e-09 2001577.99958
1.41253754462e-09 1990527.91646
1.42889395851e-09 1979279.27868
1.44543977075e-09 1968432.82277
1.46217717446e-09 1956952.9847
1.47910838817e-09 1945336.30793
1.49623565609e-09 1934149.53573
1.51356124844e-09 1922813.98444
1.53108746168e-09 1911897.12409
1.54881661891e-09 1901351.22036
1.56675107011e-09 1890005.00793
1.58489319246e-09 1879118.10401
1.60324539069e-09 1869064.3038
