#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: NCrystal:cfg=NCrystalExtra/LiF_sg225_cod9008667.ncmat
#MaterialDensity [g/cm3]: 2.65745
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 12.9692
#NAtomsPerVolume [1/cm3]: 1.23396e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 81.0396
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
1.01157945426e-09 180165.131848
1.02329299228e-09 179315.876979
1.03514216668e-09 178248.198205
1.04712854805e-09 177322.579507
1.05925372518e-09 176268.689166
1.07151930524e-09 175219.920689
1.08392691402e-09 174200.765201
1.09647819614e-09 173291.880137
1.10917481526e-09 172205.485168
1.1220184543e-09 171280.891577
1.13501081567e-09 170282.093675
1.1481536215e-09 169338.499504
1.16144861384e-09 168290.639009
1.17489755494e-09 167374.057508
1.18850222744e-09 166404.718194
1.20226443462e-09 165440.264274
1.21618600065e-09 164493.856315
1.23026877081e-09 163518.089495
1.24451461177e-09 162560.138284
1.25892541179e-09 161679.998302
1.27350308102e-09 160743.231852
1.28824955169e-09 159767.24103
1.30316677845e-09 158896.727591
1.31825673856e-09 157940.419918
1.33352143216e-09 157115.821965
1.34896288259e-09 156222.008526
1.36458313659e-09 155261.320832
1.3803842646e-09 154380.511672
1.39636836106e-09 153454.313301
1.41253754462e-09 152607.140262
1.42889395851e-09 151744.744699
1.44543977075e-09 150913.183079
1.46217717446e-09 150033.06216
1.47910838817e-09 149142.450275
1.49623565609e-09 148284.797739
1.51356124844e-09 147415.738807
1.53108746168e-09 146578.779513
1.54881661891e-09 145770.260227
1.56675107011e-09 144900.383941
1.58489319246e-09 144065.721307
1.60324539069e-09 143294.929958
1.62181009736e-09 142457.285997
1.6405897732e-09 141616.503369
1.65958690744e-09 140782.742163
1.67880401812e-09 139999.330644
1.69824365246e-09 139184.999764
1.71790838716e-09 138381.710933
1.73780082875e-09 137534.717923
1.75792361396e-09 136793.385103
1.77827941004e-09 136051.152922
1.79887091513e-09 135282.408319
1.81970085861e-09 134496.288873
1.84077200147e-09 133693.917798
1.86208713666e-09 132982.660217
1.88364908949e-09 132193.561013
1.90546071796e-09 131372.784757
1.92752491319e-09 130625.123903
1.94984459976e-09 129893.011494
1.97242273612e-09 129150.276112
1.99526231497e-09 128435.936409
2.01836636368e-09 127660.126427
2.04173794467e-09 126924.060242
2.06538015581e-09 126225.093406
2.08929613085e-09 125503.25676
2.11348903984e-09 124752.271852
2.1379620895e-09 124022.637296
2.16271852373e-09 123340.574722
2.18776162395e-09 122624.186764
2.21309470961e-09 121939.69388
2.23872113857e-09 121247.370347
2.26464430759e-09 120551.060596
2.29086765277e-09 119865.711811
2.31739464997e-09 119151.90701
2.34422881532e-09 118462.621895
2.37137370566e-09 117759.739628
2.39883291902e-09 117090.433623
2.42661009508e-09 116411.943336
2.45470891569e-09 115787.277453
