#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: boral_10_90
#MaterialDensity [g/cm3]: 2.67841
#MaterialTemperature [K]: -1
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 23.582
#NAtomsPerVolume [1/cm3]: 6.83984e+22
#ConvertXSectBarnToMeanFreePathMilliMeter: 146.202
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
1.01157945426e-09 660188.246958
1.02329299228e-09 657279.089766
1.03514216668e-09 653521.839374
1.04712854805e-09 649891.31974
1.05925372518e-09 646032.818112
1.07151930524e-09 642209.706215
1.08392691402e-09 638651.350237
1.09647819614e-09 634980.32266
1.10917481526e-09 631428.036613
1.1220184543e-09 628036.752917
1.13501081567e-09 624177.89017
1.1481536215e-09 620639.325344
1.16144861384e-09 616937.249217
1.17489755494e-09 613488.001574
1.18850222744e-09 609885.76948
1.20226443462e-09 606503.592239
1.21618600065e-09 603220.659996
1.23026877081e-09 599473.566604
1.24451461177e-09 596060.884776
1.25892541179e-09 592621.530514
1.27350308102e-09 589410.728107
1.28824955169e-09 585838.867243
1.30316677845e-09 582314.772588
1.31825673856e-09 579317.900393
1.33352143216e-09 575910.161472
1.34896288259e-09 572492.415851
1.36458313659e-09 569368.914451
1.3803842646e-09 565921.617612
1.39636836106e-09 562825.322739
1.41253754462e-09 559331.798379
1.42889395851e-09 556484.630082
1.44543977075e-09 553088.071043
1.46217717446e-09 549901.472287
1.47910838817e-09 546572.282164
1.49623565609e-09 543620.360721
1.51356124844e-09 540322.408221
1.53108746168e-09 537582.455977
1.54881661891e-09 534317.860938
1.56675107011e-09 531328.648462
1.58489319246e-09 528207.888461
1.60324539069e-09 525241.488092
1.62181009736e-09 522211.781304
1.6405897732e-09 519089.97512
1.65958690744e-09 516102.107872
1.67880401812e-09 513078.334485
1.69824365246e-09 510248.482218
1.71790838716e-09 507235.010497
1.73780082875e-09 504406.618055
1.75792361396e-09 501398.321776
1.77827941004e-09 498814.010011
1.79887091513e-09 495999.126382
1.81970085861e-09 493023.634067
1.84077200147e-09 490050.002327
1.86208713666e-09 487371.301183
1.88364908949e-09 484234.555757
1.90546071796e-09 481912.432441
1.92752491319e-09 478723.409305
1.94984459976e-09 476217.344549
1.97242273612e-09 473460.438653
1.99526231497e-09 470883.989344
2.01836636368e-09 468099.483137
2.04173794467e-09 465235.562876
2.06538015581e-09 462651.691715
2.08929613085e-09 459988.825145
2.11348903984e-09 457303.439598
2.1379620895e-09 454633.717253
2.16271852373e-09 452161.50949
2.18776162395e-09 449632.800432
2.21309470961e-09 447120.799497
2.23872113857e-09 444409.17395
2.26464430759e-09 441709.199177
2.29086765277e-09 439334.20344
2.31739464997e-09 436779.083808
2.34422881532e-09 434288.289849
2.37137370566e-09 431751.208951
2.39883291902e-09 429279.739973
2.42661009508e-09 426825.881225
2.45470891569e-09 424524.037701
2.4831331053e-09 421846.289339
2.51188643151e-09 419650.080861
2.54097270555e-09 417034.221517
2.57039578277e-09 414736.101217
2.60015956317e-09 412283.299505
2.6302679919e-09 409884.589283
2.6607250598e-09 407596.656725
2.69153480393e-09 405315.165101
2.72270130808e-09 402950.569746
2.75422870334e-09 400593.323529
2.78612116863e-09 398368.677522
2.81838293126e-09 396016.696345
2.8510182675e-09 393818.206197
2.88403150313e-09 391592.683733
2.917427014e-09 389351.104543
