#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: epoxyGd2O3_50_50
#MaterialDensity [g/cm3]: 2.0357
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 12.6597
#NAtomsPerVolume [1/cm3]: 9.68366e+22
#ConvertXSectBarnToMeanFreePathMilliMeter: 103.267
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 56444.1651144
1.02329299228e-09 56367.1105859
1.03514216668e-09 55565.8422044
1.04712854805e-09 56243.3868189
1.05925372518e-09 55402.7816843
1.07151930524e-09 54669.642302
1.08392691402e-09 55538.6435169
1.09647819614e-09 55110.8397938
1.10917481526e-09 53919.4301085
1.1220184543e-09 55081.6823506
1.13501081567e-09 52513.9613379
1.1481536215e-09 53612.2525334
1.16144861384e-09 54282.0942589
1.17489755494e-09 53148.7533903
1.18850222744e-09 52854.7092866
1.20226443462e-09 51963.3277539
1.21618600065e-09 52503.6058942
1.23026877081e-09 51299.7016646
1.24451461177e-09 51419.1165045
1.25892541179e-09 50342.7666691
1.27350308102e-09 50737.3873951
1.28824955169e-09 50818.0931747
1.30316677845e-09 50025.1165319
1.31825673856e-09 50354.9694656
1.33352143216e-09 49870.36916
1.34896288259e-09 49509.9793947
1.36458313659e-09 49170.9512032
1.3803842646e-09 49555.7026411
1.39636836106e-09 48360.3249671
1.41253754462e-09 48244.0702039
1.42889395851e-09 47980.345003
1.44543977075e-09 47950.8623453
1.46217717446e-09 47280.1788172
1.47910838817e-09 46561.5711022
1.49623565609e-09 46745.3566024
1.51356124844e-09 46396.7175477
1.53108746168e-09 46762.1925322
1.54881661891e-09 46580.6968234
1.56675107011e-09 46151.1034278
1.58489319246e-09 45958.7724876
1.60324539069e-09 44613.0096076
