#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: epoxy_b4c_50_50_enriched
#MaterialDensity [g/cm3]: 1.57458
#MaterialTemperature [K]: -1
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 8.328
#NAtomsPerVolume [1/cm3]: 1.13861e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 87.8266
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
1.01157945426e-09 6150527.80744
1.02329299228e-09 6123027.58591
1.03514216668e-09 6090030.90404
1.04712854805e-09 6053857.72173
1.05925372518e-09 6021140.38617
1.07151930524e-09 5983837.96676
1.08392691402e-09 5948964.78916
1.09647819614e-09 5913432.8535
1.10917481526e-09 5882021.32016
1.1220184543e-09 5848411.22703
1.13501081567e-09 5816414.75225
1.1481536215e-09 5783102.60338
1.16144861384e-09 5745728.43665
1.17489755494e-09 5715166.59666
1.18850222744e-09 5682249.15719
1.20226443462e-09 5649985.00439
1.21618600065e-09 5617278.41354
1.23026877081e-09 5584025.45659
1.24451461177e-09 5554384.85761
1.25892541179e-09 5522650.18701
1.27350308102e-09 5488607.88684
1.28824955169e-09 5457873.39089
1.30316677845e-09 5424239.83237
1.31825673856e-09 5396757.8159
1.33352143216e-09 5365215.73822
1.34896288259e-09 5333182.07862
1.36458313659e-09 5302911.09546
1.3803842646e-09 5273364.36693
1.39636836106e-09 5241478.66307
1.41253754462e-09 5212085.89636
1.42889395851e-09 5182167.77454
1.44543977075e-09 5151998.49911
1.46217717446e-09 5122875.87746
1.47910838817e-09 5093740.70963
1.49623565609e-09 5064466.66456
1.51356124844e-09 5034983.04644
1.53108746168e-09 5005984.14122
1.54881661891e-09 4979257.27017
1.56675107011e-09 4950595.97194
1.58489319246e-09 4918819.66043
1.60324539069e-09 4891792.50607
1.62181009736e-09 4864583.16784
1.6405897732e-09 4836101.09018
1.65958690744e-09 4809335.76646
1.67880401812e-09 4780973.95826
1.69824365246e-09 4753667.89512
1.71790838716e-09 4726136.34952
1.73780082875e-09 4698231.54739
1.75792361396e-09 4670607.42611
