#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: epoxy_b4c_50_50_natural
#MaterialDensity [g/cm3]: 1.60511
#MaterialTemperature [K]: -1
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 8.52231
#NAtomsPerVolume [1/cm3]: 1.13422e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 88.1662
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
1.01157945426e-09 1192978.42663
1.02329299228e-09 1187644.38514
1.03514216668e-09 1181244.23034
1.04712854805e-09 1174227.95021
1.05925372518e-09 1167881.97844
1.07151930524e-09 1160646.66753
1.08392691402e-09 1153882.54095
1.09647819614e-09 1146990.63934
1.10917481526e-09 1140897.94564
1.1220184543e-09 1134378.81147
1.13501081567e-09 1128172.66045
1.1481536215e-09 1121711.31662
1.16144861384e-09 1114462.08933
1.17489755494e-09 1108534.20519
1.18850222744e-09 1102149.42061
1.20226443462e-09 1095891.34985
1.21618600065e-09 1089547.46224
1.23026877081e-09 1083097.59947
1.24451461177e-09 1077348.40257
1.25892541179e-09 1071193.03209
1.27350308102e-09 1064590.0655
1.28824955169e-09 1058628.69246
1.30316677845e-09 1052105.00691
1.31825673856e-09 1046774.49637
1.33352143216e-09 1040656.48192
1.34896288259e-09 1034443.11848
1.36458313659e-09 1028571.65004
1.3803842646e-09 1022840.6606
1.39636836106e-09 1016655.99516
1.41253754462e-09 1010954.86874
1.42889395851e-09 1005151.84256
1.44543977075e-09 999300.101733
1.46217717446e-09 993651.373626
1.47910838817e-09 988000.211997
1.49623565609e-09 982322.113246
1.51356124844e-09 976603.364957
1.53108746168e-09 970978.633341
1.54881661891e-09 965794.593584
1.56675107011e-09 960235.345389
1.58489319246e-09 954071.898149
1.60324539069e-09 948829.614327
1.62181009736e-09 943551.993531
1.6405897732e-09 938027.507621
1.65958690744e-09 932836.009431
1.67880401812e-09 927334.851455
1.69824365246e-09 922038.469555
1.71790838716e-09 916698.352226
1.73780082875e-09 911285.836804
1.75792361396e-09 905927.763191
1.77827941004e-09 901075.813241
1.79887091513e-09 895712.455046
1.81970085861e-09 890717.298893
1.84077200147e-09 885832.031756
1.86208713666e-09 880803.06937
1.88364908949e-09 875239.9374
1.90546071796e-09 870254.605784
1.92752491319e-09 865511.523528
1.94984459976e-09 860436.963588
1.97242273612e-09 855423.9785
1.99526231497e-09 850511.099514
2.01836636368e-09 845998.68603
2.04173794467e-09 840894.784676
2.06538015581e-09 835989.79263
2.08929613085e-09 831307.404697
2.11348903984e-09 826365.802018
2.1379620895e-09 821770.445689
2.16271852373e-09 816753.544056
2.18776162395e-09 812471.701316
2.21309470961e-09 807745.285897
2.23872113857e-09 802829.012811
2.26464430759e-09 798621.219969
2.29086765277e-09 793988.266932
2.31739464997e-09 789181.691241
2.34422881532e-09 784910.378977
2.37137370566e-09 780025.895102
2.39883291902e-09 775828.502904
2.42661009508e-09 771484.45161
2.45470891569e-09 766932.282211
2.4831331053e-09 762462.228441
2.51188643151e-09 757975.885943
2.54097270555e-09 753785.375885
2.57039578277e-09 749164.01773
2.60015956317e-09 745269.330345
2.6302679919e-09 740989.418656
2.6607250598e-09 736667.859218
2.69153480393e-09 732285.165836
2.72270130808e-09 728029.663915
2.75422870334e-09 723683.293565
2.78612116863e-09 719824.107163
2.81838293126e-09 715910.047953
2.8510182675e-09 711487.425011
2.88403150313e-09 707402.279816
2.917427014e-09 703505.198494
2.95120922667e-09 699591.204672
2.98538261892e-09 695292.640211
3.0199517204e-09 691171.938916
3.05492111322e-09 687484.554983
3.09029543251e-09 683183.040535
3.12607936712e-09 679759.352846
3.16227766017e-09 675622.974933
3.19889510969e-09 672006.159447
3.2359365693e-09 667798.578889
3.27340694879e-09 664191.261116
3.31131121483e-09 660264.94883
3.34965439158e-09 656266.92228
3.38844156139e-09 652891.593925
3.42767786547e-09 648908.1645
3.46736850453e-09 645322.935109
3.50751873953e-09 641505.913986
3.54813389234e-09 637911.694278
3.58921934645e-09 634364.693012
3.6307805477e-09 630567.247975
3.67282300498e-09 626939.926132
3.71535229097e-09 623153.874222
3.75837404289e-09 619956.697453
3.80189396321e-09 616218.693515
3.84591782045e-09 612787.688589
3.89045144994e-09 609117.072728
3.93550075456e-09 605703.226597
3.98107170554e-09 602351.168162
4.02717034326e-09 598739.972077
4.07380277804e-09 595092.062221
4.12097519097e-09 591939.691227
4.1686938347e-09 588459.1246
4.21696503429e-09 585129.380487
4.26579518802e-09 581589.889814
4.31519076828e-09 578319.038334
4.3651583224e-09 575136.950391
4.41570447353e-09 571854.090362
4.46683592151e-09 568447.931492
4.51855944375e-09 565362.896538
4.57088189615e-09 562130.285122
4.62381021399e-09 558926.765903
4.67735141287e-09 555365.13841
4.73151258962e-09 552476.079342
