#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: mirrobor
#MaterialDensity [g/cm3]: 1.36
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 10.2994
#NAtomsPerVolume [1/cm3]: 7.95206e+22
#ConvertXSectBarnToMeanFreePathMilliMeter: 125.754
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 18508.1246336
1.02329299228e-09 18746.3035568
1.03514216668e-09 18319.3413201
1.04712854805e-09 18385.9160287
1.05925372518e-09 18103.3792333
1.07151930524e-09 18202.7403189
1.08392691402e-09 18087.0854407
1.09647819614e-09 17818.2545645
1.10917481526e-09 17767.3709586
1.1220184543e-09 17871.1654024
1.13501081567e-09 17564.4106297
1.1481536215e-09 17610.9197541
1.16144861384e-09 17458.3437931
1.17489755494e-09 17499.8107257
1.18850222744e-09 17133.0565444
1.20226443462e-09 17054.3732645
1.21618600065e-09 16937.260668
1.23026877081e-09 16777.9626276
1.24451461177e-09 16727.0725476
1.25892541179e-09 16759.9862431
1.27350308102e-09 16840.3521488
1.28824955169e-09 16532.8508778
1.30316677845e-09 16363.8850814
1.31825673856e-09 16346.352562
1.33352143216e-09 16302.3938671
1.34896288259e-09 16150.7061698
1.36458313659e-09 16008.7568702
1.3803842646e-09 15982.3256487
1.39636836106e-09 15802.0980517
1.41253754462e-09 15895.0229401
1.42889395851e-09 15679.1201412
1.44543977075e-09 15626.9102411
1.46217717446e-09 15380.01115
1.47910838817e-09 15343.9811829
1.49623565609e-09 15200.449501
1.51356124844e-09 15316.7989563
1.53108746168e-09 15083.8281089
1.54881661891e-09 14994.1172998
1.56675107011e-09 14918.3122211
1.58489319246e-09 15002.8447079
1.60324539069e-09 14684.0894035
1.62181009736e-09 14715.7455969
1.6405897732e-09 14728.2224994
1.65958690744e-09 14610.3293241
1.67880401812e-09 14524.7797908
1.69824365246e-09 14543.8003816
1.71790838716e-09 14276.5086973
